epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,196.259,1.85435,2.57511,1.75671,0.50141,0.43565,0.42682,0.1995,1.50138,8.0296,1.3627,0.00998867,0.00332956,0.00998867,0.00332956,0.00998867,0.00332956,0.00998867,0.00332956
2,379.038,1.66673,1.81731,1.54338,0.50699,0.43754,0.4138,0.19417,1.53709,6.1095,1.3876,0.0195929,0.00653097,0.0195929,0.00653097,0.0195929,0.00653097,0.0195929,0.00653097
3,556.049,1.67358,1.77962,1.53409,0.51243,0.44254,0.44714,0.20951,1.53729,3.73651,1.3778,0.0288011,0.00960037,0.0288011,0.00960037,0.0288011,0.00960037,0.0288011,0.00960037
4,730.347,1.68286,1.7435,1.55158,0.59659,0.49581,0.52225,0.2584,1.45848,3.31648,1.30355,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,904.618,1.64748,1.65311,1.50892,0.62961,0.53653,0.5835,0.29667,1.40246,3.94696,1.27509,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1078.75,1.60981,1.59663,1.49591,0.62329,0.548,0.58357,0.30313,1.41413,3.72265,1.2838,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1253.47,1.58697,1.54293,1.46992,0.64316,0.55913,0.60097,0.30745,1.37853,3.83834,1.25401,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1427.65,1.55702,1.47901,1.45378,0.65633,0.55044,0.60317,0.31223,1.37084,2.26626,1.25121,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1602.2,1.53291,1.45031,1.43799,0.65513,0.58878,0.63332,0.33803,1.32662,3.07912,1.20002,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1776.17,1.51653,1.42133,1.4292,0.65901,0.60352,0.6479,0.34901,1.31536,2.58921,1.21099,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1950.17,1.49826,1.38427,1.41239,0.67689,0.61247,0.66381,0.35558,1.31591,2.93558,1.19133,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2124.4,1.48955,1.3611,1.40701,0.67871,0.60813,0.66307,0.35649,1.32165,2.62475,1.2091,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2298.4,1.47829,1.33613,1.39815,0.69744,0.62335,0.68078,0.3693,1.29012,2.12196,1.18848,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2472.56,1.46207,1.30546,1.39029,0.6889,0.61885,0.68075,0.37046,1.29672,1.96733,1.19116,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2646.77,1.45291,1.28882,1.37864,0.69299,0.6257,0.68088,0.37495,1.27372,2.16557,1.17377,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,2821.1,1.44955,1.27088,1.38038,0.722,0.61935,0.69934,0.38292,1.28528,1.91423,1.17913,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,2995.25,1.42462,1.23824,1.36474,0.71162,0.64359,0.70513,0.39305,1.2673,1.965,1.1734,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3169.68,1.41418,1.22452,1.35422,0.70593,0.66032,0.71025,0.39295,1.26622,1.8264,1.16621,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3344.21,1.40785,1.20077,1.3554,0.73228,0.64196,0.71858,0.40457,1.25785,1.57883,1.16465,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3518.48,1.39725,1.18411,1.34349,0.73679,0.65158,0.72541,0.40916,1.23519,1.28939,1.15193,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,3692.93,1.38692,1.16821,1.33699,0.73302,0.65111,0.72661,0.40936,1.24529,1.51896,1.14426,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,3866.98,1.3757,1.1457,1.32661,0.74331,0.66173,0.73672,0.41801,1.2327,1.35112,1.14008,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
